row,run,variant,throughput,steady,work_ms,tail_ms
main_i0,1,base,110151014.976,122624720.837,13.048,0.000
main_i0,1,cand,109055475.975,117206045.224,13.651,0.000
medium_i0,1,base,87662428.207,97338545.164,16.437,0.000
medium_i0,1,cand,104297581.861,117110563.278,13.662,0.000
medium_i1,1,base,91532510.517,97682328.034,16.380,2.580
medium_i1,1,cand,98376994.786,104873477.032,15.256,1.956
fixed16,1,base,109714814.853,115665780.546,13.833,0.000
fixed16,1,cand,105190763.120,110587104.866,14.468,0.000
main_i0,2,cand,99300151.153,110248196.942,14.513,0.000
main_i0,2,base,109062181.121,120064675.839,13.326,0.000
medium_i0,2,cand,105463142.378,118929530.165,13.453,0.000
medium_i0,2,base,100508352.401,111496797.115,14.350,0.000
medium_i1,2,cand,102643434.095,112962663.298,14.164,2.006
medium_i1,2,base,98754605.668,107548246.816,14.877,1.098
fixed16,2,cand,117826354.147,124601130.366,12.841,0.000
fixed16,2,base,111674251.791,121173859.648,13.204,0.000
main_i0,3,base,115290587.042,125605970.303,12.738,0.000
main_i0,3,cand,112820609.731,122835249.448,13.026,0.000
medium_i0,3,base,99043640.795,111426626.437,14.359,0.000
medium_i0,3,cand,106127433.179,116284655.825,13.759,0.000
medium_i1,3,base,91366395.291,102206771.965,15.655,3.234
medium_i1,3,cand,104149837.246,114446167.813,13.980,1.242
fixed16,3,base,106968109.932,115919752.233,13.803,0.000
fixed16,3,cand,112042981.929,118355809.965,13.519,0.000
main_i0,4,cand,117445846.454,130186593.189,12.290,0.000
main_i0,4,base,108657828.620,121328707.070,13.187,0.000
medium_i0,4,cand,93846678.575,103957695.455,15.391,0.000
medium_i0,4,base,99237890.217,107357656.329,14.903,0.000
medium_i1,4,cand,85594563.376,88805786.407,18.017,8.305
medium_i1,4,base,94479910.825,103958843.733,15.391,1.058
fixed16,4,cand,119764468.203,128436148.611,12.458,0.001
fixed16,4,base,120411494.240,129139819.036,12.390,0.000
main_i0,5,base,113211955.494,123933244.597,12.910,0.000
main_i0,5,cand,112197581.062,121229056.544,13.198,0.000
medium_i0,5,base,98404155.214,111422731.087,14.360,0.000
medium_i0,5,cand,93566474.477,105010772.793,15.237,0.000
medium_i1,5,base,95632431.013,103407182.650,15.473,1.099
medium_i1,5,cand,96112160.970,106442569.577,15.032,2.689
fixed16,5,base,111054141.879,118305577.243,13.524,0.000
fixed16,5,cand,114031025.989,121676390.385,13.150,0.000
main_i0,6,cand,111084265.747,123467660.232,12.959,0.000
main_i0,6,base,114411157.948,127722025.783,12.527,0.000
medium_i0,6,cand,100780081.925,113404030.351,14.109,0.000
medium_i0,6,base,99795525.206,108818272.329,14.703,0.000
medium_i1,6,cand,107169613.664,118600519.796,13.491,1.521
medium_i1,6,base,98531049.843,109120458.415,14.663,2.022
fixed16,6,cand,120932985.893,125170623.206,12.783,0.000
fixed16,6,base,111330300.371,120776128.538,13.248,0.000
main_i0,7,base,107906658.043,117726818.743,13.591,0.000
main_i0,7,cand,109249081.898,117720218.477,13.592,0.000
medium_i0,7,base,100095716.529,108941659.018,14.687,0.000
medium_i0,7,cand,106650647.739,119067162.363,13.438,0.000
medium_i1,7,base,83929609.495,91812210.060,17.427,5.309
medium_i1,7,cand,95648529.912,105934882.622,15.104,1.744
fixed16,7,base,115331723.591,124494581.179,12.852,0.000
fixed16,7,cand,114335311.310,120956883.860,13.228,0.000
main_i0,8,cand,107023883.851,117232727.333,13.648,0.000
main_i0,8,base,108566080.916,119356560.717,13.405,0.000
medium_i0,8,cand,102509614.761,109130156.263,14.661,0.000
medium_i0,8,base,101311772.162,110317582.947,14.504,0.000
medium_i1,8,cand,103297088.107,113600056.800,14.085,1.609
medium_i1,8,base,96722404.161,105924278.705,15.105,2.109
fixed16,8,cand,113331920.934,121230985.488,13.198,0.000
fixed16,8,base,114224416.568,122230430.335,13.090,0.000
main_i0,9,base,105869427.530,116858700.813,13.692,0.000
main_i0,9,cand,110562605.419,116627919.470,13.719,0.000
medium_i0,9,base,99273725.831,109809419.576,14.571,0.000
medium_i0,9,cand,106077315.247,117525981.138,13.614,0.000
medium_i1,9,base,96861558.378,106557920.757,15.015,2.442
medium_i1,9,cand,101970393.024,111377202.075,14.366,1.452
fixed16,9,base,109408210.307,114261849.882,14.003,0.000
fixed16,9,cand,115052282.993,123343496.837,12.972,0.000
main_i0,10,cand,111764451.947,117674677.763,13.597,0.000
main_i0,10,base,111669887.063,123485794.040,12.957,0.000
medium_i0,10,cand,109748070.560,120989235.210,13.224,0.000
medium_i0,10,base,100846969.577,109195294.829,14.653,0.000
medium_i1,10,cand,85447231.074,93554416.453,17.102,2.762
medium_i1,10,base,83543096.124,98489733.799,16.245,10.386
fixed16,10,cand,109419979.733,115604071.373,13.840,0.000
fixed16,10,base,103515904.766,110084883.013,14.534,0.000
