row,run,allocator,lib,throughput,steady,post_rss,peak_rss,minor_faults,work_ms,tail_ms,log
small_local_i0_touch,1,hz8,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz8/libhakozuna_hz8_preload.so,357223152.615,450924988.065,14548992,14548992,350,3.548,0.000,bench_results/hz8_main_medium_local_attr_20260624T173706Z/small_local_i0_touch_run1_hz8.log
small_local_i0_touch,2,hz8,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz8/libhakozuna_hz8_preload.so,357750473.963,432030993.904,14548992,14548992,350,3.703,0.000,bench_results/hz8_main_medium_local_attr_20260624T173706Z/small_local_i0_touch_run2_hz8.log
small_local_i0_touch,3,hz8,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz8/libhakozuna_hz8_preload.so,371874482.136,471810362.902,14548992,14548992,347,3.391,0.000,bench_results/hz8_main_medium_local_attr_20260624T173706Z/small_local_i0_touch_run3_hz8.log
small_local_i0_touch,4,hz8,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz8/libhakozuna_hz8_preload.so,353422845.032,436058553.943,14417920,14417920,348,3.669,0.000,bench_results/hz8_main_medium_local_attr_20260624T173706Z/small_local_i0_touch_run4_hz8.log
small_local_i0_touch,5,hz8,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz8/libhakozuna_hz8_preload.so,345751876.352,420852837.232,14548992,14548992,348,3.802,0.000,bench_results/hz8_main_medium_local_attr_20260624T173706Z/small_local_i0_touch_run5_hz8.log
small_local_i0_touch,6,hz8,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz8/libhakozuna_hz8_preload.so,370736644.444,455424605.168,14548992,14548992,347,3.513,0.001,bench_results/hz8_main_medium_local_attr_20260624T173706Z/small_local_i0_touch_run6_hz8.log
small_local_i0_touch,7,hz8,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz8/libhakozuna_hz8_preload.so,244890887.335,432668997.130,14942208,14942208,350,3.698,0.000,bench_results/hz8_main_medium_local_attr_20260624T173706Z/small_local_i0_touch_run7_hz8.log
small_local_i0_touch,8,hz8,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz8/libhakozuna_hz8_preload.so,342356348.881,409491501.132,14548992,14548992,348,3.907,0.000,bench_results/hz8_main_medium_local_attr_20260624T173706Z/small_local_i0_touch_run8_hz8.log
small_local_i0_touch,9,hz8,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz8/libhakozuna_hz8_preload.so,352633866.428,433747743.156,14548992,14548992,351,3.689,0.000,bench_results/hz8_main_medium_local_attr_20260624T173706Z/small_local_i0_touch_run9_hz8.log
small_local_i0_touch,10,hz8,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz8/libhakozuna_hz8_preload.so,348745714.242,426371049.406,14548992,14548992,351,3.753,0.000,bench_results/hz8_main_medium_local_attr_20260624T173706Z/small_local_i0_touch_run10_hz8.log
small_local_i1_touch,1,hz8,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz8/libhakozuna_hz8_preload.so,335771383.338,395832771.539,2490368,2490368,343,4.042,0.392,bench_results/hz8_main_medium_local_attr_20260624T173706Z/small_local_i1_touch_run1_hz8.log
small_local_i1_touch,2,hz8,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz8/libhakozuna_hz8_preload.so,351128141.801,408934712.295,2490368,2490368,337,3.913,0.430,bench_results/hz8_main_medium_local_attr_20260624T173706Z/small_local_i1_touch_run2_hz8.log
small_local_i1_touch,3,hz8,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz8/libhakozuna_hz8_preload.so,346357081.162,416267310.216,2359296,2359296,346,3.844,0.574,bench_results/hz8_main_medium_local_attr_20260624T173706Z/small_local_i1_touch_run3_hz8.log
small_local_i1_touch,4,hz8,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz8/libhakozuna_hz8_preload.so,242408449.146,280138626.599,2621440,2621440,347,5.711,1.250,bench_results/hz8_main_medium_local_attr_20260624T173706Z/small_local_i1_touch_run4_hz8.log
small_local_i1_touch,5,hz8,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz8/libhakozuna_hz8_preload.so,340076627.766,393651968.358,2359296,2359296,349,4.065,0.657,bench_results/hz8_main_medium_local_attr_20260624T173706Z/small_local_i1_touch_run5_hz8.log
small_local_i1_touch,6,hz8,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz8/libhakozuna_hz8_preload.so,347203460.577,406961897.175,2490368,2490368,349,3.932,0.403,bench_results/hz8_main_medium_local_attr_20260624T173706Z/small_local_i1_touch_run6_hz8.log
small_local_i1_touch,7,hz8,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz8/libhakozuna_hz8_preload.so,332016335.204,392057310.938,2490368,2490368,346,4.081,0.433,bench_results/hz8_main_medium_local_attr_20260624T173706Z/small_local_i1_touch_run7_hz8.log
small_local_i1_touch,8,hz8,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz8/libhakozuna_hz8_preload.so,328065153.740,384354744.055,2359296,2359296,348,4.163,0.467,bench_results/hz8_main_medium_local_attr_20260624T173706Z/small_local_i1_touch_run8_hz8.log
small_local_i1_touch,9,hz8,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz8/libhakozuna_hz8_preload.so,422316357.711,489099949.103,2490368,2490368,348,3.271,0.404,bench_results/hz8_main_medium_local_attr_20260624T173706Z/small_local_i1_touch_run9_hz8.log
small_local_i1_touch,10,hz8,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz8/libhakozuna_hz8_preload.so,392962339.226,460927068.374,2359296,2359296,348,3.471,1.192,bench_results/hz8_main_medium_local_attr_20260624T173706Z/small_local_i1_touch_run10_hz8.log
main_local_i0_touch,1,hz8,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz8/libhakozuna_hz8_preload.so,117380467.069,128053516.125,15855616,15859712,580,12.495,0.000,bench_results/hz8_main_medium_local_attr_20260624T173706Z/main_local_i0_touch_run1_hz8.log
main_local_i0_touch,2,hz8,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz8/libhakozuna_hz8_preload.so,120528941.259,131364755.838,16515072,16515072,588,12.180,0.000,bench_results/hz8_main_medium_local_attr_20260624T173706Z/main_local_i0_touch_run2_hz8.log
main_local_i0_touch,3,hz8,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz8/libhakozuna_hz8_preload.so,120037895.964,134615806.908,16646144,16646144,596,11.886,0.000,bench_results/hz8_main_medium_local_attr_20260624T173706Z/main_local_i0_touch_run3_hz8.log
