row,variant,order,median_ops,p25_ops,min_ops,peak_rss,minor_faults
main_i0,base,1a,150583742.584,140950435.836,98023106.742,5677056,329
main_i0,cand,1b,148663266.366,143712695.328,129925263.740,6008832,329
medium_i0,base,1a,139399548.642,130502314.010,102297715.379,5013504,328
medium_i0,cand,1b,145107606.359,139301897.248,120936852.445,5050368,328
medium_i1,base,1a,132020924.326,128996139.146,110007393.184,4866048,328
medium_i1,cand,1b,119550487.179,94484324.047,89361187.588,5128192,328
medium_r50,base,1a,34530964.293,33656962.558,28339688.863,44957696,5601
medium_r50,cand,1b,34546950.428,34340686.612,28761869.642,46936064,5693
fixed8_i0,base,1a,171794186.270,162156963.278,158439466.320,4112384,56
fixed8_i0,cand,1b,118060548.533,111295544.832,108127848.746,4091904,56
fixed16_i0,base,1a,171724747.554,168176046.686,143425774.831,4194304,56
fixed16_i0,cand,1b,115678407.953,111573217.937,106873945.121,4194304,56
fixed32_i0,base,1a,165261769.478,161069501.490,155151500.107,4194304,56
fixed32_i0,cand,1b,176500366.183,170733867.517,153977167.688,4194304,56
main_i0,cand,2a,160867510.222,154058131.910,130082844.886,6291456,329
main_i0,base,2b,137645100.518,134258643.907,127592306.854,6258688,329
medium_i0,cand,2a,149862491.797,142708662.139,112037952.857,5214208,328
medium_i0,base,2b,125584330.152,115111557.488,111492446.247,5115904,328
medium_i1,cand,2a,127816863.997,116276830.424,106848337.333,4583424,328
medium_i1,base,2b,124740413.251,117850576.370,109273017.542,4947968,328
medium_r50,cand,2a,34497420.024,33815456.500,30125146.448,39059456,5682
medium_r50,base,2b,34315692.965,31871707.453,28264751.475,43909120,5511
fixed8_i0,cand,2a,115832793.625,113385337.518,110886427.487,4194304,56
fixed8_i0,base,2b,156036668.617,152413278.512,127783218.326,4194304,56
fixed16_i0,cand,2a,177728250.839,172182052.389,153234585.774,4194304,56
fixed16_i0,base,2b,111597785.956,110077453.248,104541723.713,4194304,56
fixed32_i0,cand,2a,178766595.406,172403259.413,163903308.112,4325376,56
fixed32_i0,base,2b,164426137.878,151895148.298,137356682.252,4194304,56
main_i0,base,3a,148529152.931,140192656.253,129183340.064,6057984,329
main_i0,cand,3b,147762146.903,145643577.578,138970594.430,6176768,329
medium_i0,base,3a,110946901.992,100989450.453,94722169.517,5144576,328
medium_i0,cand,3b,140874076.097,134809917.595,131599130.952,5124096,328
medium_i1,base,3a,120263262.294,108437538.419,99784191.739,4849664,328
medium_i1,cand,3b,123706006.182,109920156.746,98110303.575,4976640,328
medium_r50,base,3a,34672143.999,34299595.822,29203568.494,42336256,5580
medium_r50,cand,3b,34830404.339,34778316.598,29880798.771,42598400,5606
fixed8_i0,base,3a,150165609.204,147848467.518,146697701.788,4194304,56
fixed8_i0,cand,3b,159294326.135,154553876.854,152024852.263,4218880,56
fixed16_i0,base,3a,151038493.482,148944879.131,147081142.552,4096000,56
fixed16_i0,cand,3b,157561561.518,151543723.821,134426354.018,4218880,56
fixed32_i0,base,3a,103824599.759,99741439.021,97210472.581,4194304,56
fixed32_i0,cand,3b,156391500.708,150936860.376,138088443.404,4194304,56
fixed8_i0,cand,4a,169914060.654,162995432.257,131796910.845,4194304,56
fixed8_i0,base,4b,150792333.605,146897560.252,126195744.112,4063232,56
fixed16_i0,cand,4a,178636024.634,175805532.710,161004701.539,4194304,56
fixed16_i0,base,4b,150490236.052,105625439.253,102339866.732,4325376,56
medium_i0,cand,4a,139354419.747,133277312.436,125979520.297,4771840,328
medium_i0,base,4b,135543126.816,132193713.363,124860078.674,4853760,328
fixed8_i0,base,5a,169360307.067,164710692.874,154094542.395,4194304,56
fixed8_i0,cand,5b,157722005.305,142738007.599,135642361.957,4194304,56
fixed16_i0,base,5a,156664733.163,148785016.902,129185332.265,4194304,56
fixed16_i0,cand,5b,180717774.858,172342608.920,166245494.098,4194304,56
medium_i0,base,5a,144251813.178,136665967.108,136128099.945,5103616,328
medium_i0,cand,5b,145633224.181,140251630.710,128238821.722,5230592,328
fixed8_i0,cand,6a,115869769.910,112701009.294,107298245.600,4063232,56
fixed8_i0,base,6b,168308250.670,164258854.297,157388886.889,4079616,56
fixed16_i0,cand,6a,150763148.926,142631810.067,140438108.969,4194304,56
fixed16_i0,base,6b,77729426.296,73937990.518,72301002.449,4063232,56
medium_i0,cand,6a,142479102.546,137842066.935,131245038.835,4628480,328
medium_i0,base,6b,137550115.525,130438245.602,113505976.870,5140480,328
fixed8_i0,base,7a,108079029.007,101957306.270,100689154.331,4194304,56
fixed8_i0,cand,7b,167610312.727,158610838.691,153070088.497,4206592,56
fixed16_i0,base,7a,118382518.927,111931146.674,106382193.589,4194304,56
fixed16_i0,cand,7b,180216081.334,167269726.302,159936601.131,4194304,56
medium_i0,base,7a,135932741.159,131679873.061,116757410.283,4562944,328
medium_i0,cand,7b,147526950.408,139555959.105,127251101.816,4759552,328
