row,variant,order,median_ops,p25_ops,min_ops,peak_rss,minor_faults
main_i0,base,1a,134647470.201,128770428.322,115445671.159,6094848,329
main_i0,cand,1b,152744892.545,146685019.407,130549463.927,6057984,329
medium_i0,base,1a,116559957.240,109541668.076,96888169.979,5300224,328
medium_i0,cand,1b,147162716.620,143069690.766,111897267.119,5144576,328
medium_i1,base,1a,117592222.803,111747091.747,103975489.858,4591616,328
medium_i1,cand,1b,106237544.893,104110111.018,96630447.964,5419008,328
fixed16_i0,base,1a,108636057.326,103943614.227,102116003.141,4194304,56
fixed16_i0,cand,1b,172515331.761,170417520.796,161553889.935,4194304,56
fixed8_i0,base,1a,159368026.093,154960858.824,153377467.700,4194304,56
fixed8_i0,cand,1b,169750538.852,165140731.900,164478908.715,4116480,56
fixed32_i0,base,1a,159062628.027,151136523.038,148639580.881,4194304,56
fixed32_i0,cand,1b,169447045.574,163055779.446,159995040.154,4071424,56
main_i0,cand,2a,152161419.681,137459170.331,126094202.141,6025216,329
main_i0,base,2b,136615801.188,125265053.023,114565622.652,5742592,329
medium_i0,cand,2a,126610355.129,121228422.761,114736917.213,4472832,328
medium_i0,base,2b,138571185.577,135016995.264,115260613.251,4812800,328
medium_i1,cand,2a,118852132.051,115906685.845,111233382.862,4513792,328
medium_i1,base,2b,115446928.975,109187559.934,99398199.812,5099520,328
fixed16_i0,cand,2a,171245540.525,165891418.053,156392372.040,4063232,56
fixed16_i0,base,2b,133779722.823,106817756.823,95011114.816,4247552,56
fixed8_i0,cand,2a,152845617.615,148543893.839,130458059.446,4194304,56
fixed8_i0,base,2b,109394738.058,105035003.900,98013733.317,4325376,56
fixed32_i0,cand,2a,169044006.487,160565962.906,145766923.973,4194304,56
fixed32_i0,base,2b,103919465.532,101056622.784,98115862.692,4194304,56
main_i0,base,3a,144650041.374,143887738.786,126128366.041,5758976,329
main_i0,cand,3b,152980607.222,150071452.770,140732533.949,5771264,329
medium_i0,base,3a,131066000.742,125385246.169,103950306.556,4825088,328
medium_i0,cand,3b,141889028.945,138139673.023,108579320.349,4829184,328
medium_i1,base,3a,113445182.720,109467030.344,97503210.903,5111808,328
medium_i1,cand,3b,114727595.816,108079189.622,98600434.618,4464640,328
fixed16_i0,base,3a,105941679.503,104993021.901,103482831.099,4194304,56
fixed16_i0,cand,3b,168789938.601,159282670.493,154897130.879,4194304,56
fixed8_i0,base,3a,151988503.590,149068591.490,142137192.595,4194304,56
fixed8_i0,cand,3b,163507213.376,153709765.988,139186181.874,4194304,56
fixed32_i0,base,3a,101993579.249,97511066.592,96008667.663,4194304,56
fixed32_i0,cand,3b,105922357.323,102580278.685,101690018.190,4063232,56
medium_r50,base,r1a,33314953.196,31624185.766,4788970.355,52953088,6523
medium_r50,cand,r1b,33246615.770,32825445.054,27703116.436,47054848,6326
medium_r50,cand,r2a,34434668.825,30803081.579,4373383.988,59015168,6145
medium_r50,base,r2b,34200087.527,30927516.012,28360252.057,47063040,5391
