row,variant,order,median_ops,p25_ops,min_ops,peak_rss,minor_faults
main_i0,base,1a,133871933.590,128024795.842,102421631.449,5926912,329
main_i0,cand,1b,136554273.112,131706061.047,118353962.676,5935104,329
medium_i0,base,1a,113473921.849,109858201.213,107201494.925,5296128,328
medium_i0,cand,1b,130564112.038,124497710.098,117925710.340,5083136,328
medium_i1,base,1a,117817131.318,112170436.248,96156238.503,4984832,328
medium_i1,cand,1b,114101285.857,110950648.735,85316420.206,4997120,328
fixed16_i0,base,1a,143269426.215,138838547.863,119343153.186,4194304,56
fixed16_i0,cand,1b,160039961.979,158600886.420,153617809.834,4194304,56
main_i0,cand,2a,141484653.292,137965466.381,126531935.988,6045696,329
main_i0,base,2b,125154164.509,121225327.426,119044855.506,6082560,329
medium_i0,cand,2a,124206446.951,117877396.457,113957987.394,4579328,328
medium_i0,base,2b,127781401.800,125606680.266,106044644.132,4837376,328
medium_i1,cand,2a,111675787.321,102347584.936,101660807.192,4927488,328
medium_i1,base,2b,114249856.152,110858453.917,100590965.636,4923392,328
fixed16_i0,cand,2a,72144154.482,69661741.306,60663780.815,4194304,56
fixed16_i0,base,2b,134662032.385,133479192.721,132282634.415,4194304,56
medium_i1,base,3a,114706358.890,103172383.126,88195991.779,5070848,328
medium_i1,cand,3b,120786668.473,114661221.596,100030371.722,5029888,328
fixed16_i0,base,3a,153013876.063,150727401.017,145647820.112,4194304,56
fixed16_i0,cand,3b,159475612.292,147572056.899,129756456.053,4194304,56
medium_i1,cand,4a,116974241.906,114528998.420,100408360.803,4845568,328
medium_i1,base,4b,101164459.838,95106146.782,85257928.947,4870144,328
fixed16_i0,cand,4a,161284339.452,157868989.656,147207207.854,4194304,56
fixed16_i0,base,4b,100978054.503,98971274.021,95099922.975,4194304,56
medium_i1,base,5a,115074508.947,112807485.002,101217481.828,4739072,328
medium_i1,cand,5b,115622893.044,108609332.841,90979972.579,4767744,328
fixed16_i0,base,5a,106949698.348,103192718.206,99013675.274,4177920,56
fixed16_i0,cand,5b,108486778.276,103968956.429,100587468.537,4063232,56
medium_i1,cand,6a,109170342.921,104179818.012,96003851.675,4857856,328
medium_i1,base,6b,116413071.704,115160978.854,79249271.650,4980736,328
fixed16_i0,cand,6a,125481614.120,123796063.935,122215398.529,4194304,56
fixed16_i0,base,6b,103839221.580,101817389.494,99901459.698,4063232,56
