row,run,allocator,lib,throughput,steady,post_rss,peak_rss,minor_faults,work_ms,tail_ms,remote_live,rounded_live,log
guard_local0,1,hz8,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz8/libhakozuna_hz8_preload.so,329012102.093,410357631.806,14548992,14548992,345,3.899,0.000,0,0,bench_results/hz8_medium_v1_rc1_same_run_matrix_20260624T161740Z/guard_local0_run1_hz8.log
guard_local0,1,hz3,/mnt/workdisk/public_share/hakozuna_repo/libhakozuna_hz3_scale.so,256344280.623,786712813.929,25145344,29491200,3516,2.034,0.000,0,0,bench_results/hz8_medium_v1_rc1_same_run_matrix_20260624T161740Z/guard_local0_run1_hz3.log
guard_local0,1,hz4,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-mt/libhakozuna_hz4.so,77971208.644,84259126.093,149651456,149946368,33314,18.989,0.000,0,0,bench_results/hz8_medium_v1_rc1_same_run_matrix_20260624T161740Z/guard_local0_run1_hz4.log
guard_local0,1,mimalloc,/mnt/workdisk/public_share/hakozuna_repo/private/bench-assets/linux/allocators/x86_64/libmimalloc2.0/usr/lib/x86_64-linux-gnu/libmimalloc.so.2.0,22948048.930,23187036.082,19136512,19136512,1088,69.004,0.000,0,0,bench_results/hz8_medium_v1_rc1_same_run_matrix_20260624T161740Z/guard_local0_run1_mimalloc.log
guard_local0,1,tcmalloc,/mnt/workdisk/public_share/hakozuna_repo/private/bench-assets/linux/allocators/x86_64/libtcmalloc-minimal4/usr/lib/x86_64-linux-gnu/libtcmalloc_minimal.so.4.5.9,453006262.812,545367224.725,20054016,20054016,198,2.934,0.000,0,0,bench_results/hz8_medium_v1_rc1_same_run_matrix_20260624T161740Z/guard_local0_run1_tcmalloc.log
guard_local0,1,system,system,247279500.483,275319168.047,1572864,1572864,222,5.811,0.001,0,0,bench_results/hz8_medium_v1_rc1_same_run_matrix_20260624T161740Z/guard_local0_run1_system.log
guard_local0,2,hz3,/mnt/workdisk/public_share/hakozuna_repo/libhakozuna_hz3_scale.so,285159955.130,812820206.710,25260032,29622272,3519,1.968,0.000,0,0,bench_results/hz8_medium_v1_rc1_same_run_matrix_20260624T161740Z/guard_local0_run2_hz3.log
guard_local0,2,hz4,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-mt/libhakozuna_hz4.so,88098663.455,93309439.119,149393408,149684224,33317,17.147,0.000,0,0,bench_results/hz8_medium_v1_rc1_same_run_matrix_20260624T161740Z/guard_local0_run2_hz4.log
guard_local0,2,mimalloc,/mnt/workdisk/public_share/hakozuna_repo/private/bench-assets/linux/allocators/x86_64/libmimalloc2.0/usr/lib/x86_64-linux-gnu/libmimalloc.so.2.0,23191022.686,23492000.064,19005440,19005440,1115,68.108,0.000,0,0,bench_results/hz8_medium_v1_rc1_same_run_matrix_20260624T161740Z/guard_local0_run2_mimalloc.log
guard_local0,2,tcmalloc,/mnt/workdisk/public_share/hakozuna_repo/private/bench-assets/linux/allocators/x86_64/libtcmalloc-minimal4/usr/lib/x86_64-linux-gnu/libtcmalloc_minimal.so.4.5.9,473324888.428,573645917.774,20185088,20185088,207,2.789,0.000,0,0,bench_results/hz8_medium_v1_rc1_same_run_matrix_20260624T161740Z/guard_local0_run2_tcmalloc.log
guard_local0,2,system,system,252041973.180,276547334.187,1835008,1835008,211,5.786,0.000,0,0,bench_results/hz8_medium_v1_rc1_same_run_matrix_20260624T161740Z/guard_local0_run2_system.log
guard_local0,2,hz8,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz8/libhakozuna_hz8_preload.so,453997948.497,554386723.547,14680064,14680064,348,2.886,0.000,0,0,bench_results/hz8_medium_v1_rc1_same_run_matrix_20260624T161740Z/guard_local0_run2_hz8.log
guard_local0,3,hz4,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-mt/libhakozuna_hz4.so,90722763.878,96733070.292,149532672,149684224,33319,16.540,0.000,0,0,bench_results/hz8_medium_v1_rc1_same_run_matrix_20260624T161740Z/guard_local0_run3_hz4.log
guard_local0,3,mimalloc,/mnt/workdisk/public_share/hakozuna_repo/private/bench-assets/linux/allocators/x86_64/libmimalloc2.0/usr/lib/x86_64-linux-gnu/libmimalloc.so.2.0,23128309.065,23388470.434,19136512,19136512,1092,68.410,0.000,0,0,bench_results/hz8_medium_v1_rc1_same_run_matrix_20260624T161740Z/guard_local0_run3_mimalloc.log
guard_local0,3,tcmalloc,/mnt/workdisk/public_share/hakozuna_repo/private/bench-assets/linux/allocators/x86_64/libtcmalloc-minimal4/usr/lib/x86_64-linux-gnu/libtcmalloc_minimal.so.4.5.9,476385992.942,583627213.953,20054016,20054016,201,2.741,0.000,0,0,bench_results/hz8_medium_v1_rc1_same_run_matrix_20260624T161740Z/guard_local0_run3_tcmalloc.log
guard_local0,3,system,system,244975813.997,272804774.084,1835008,1835008,203,5.865,0.000,0,0,bench_results/hz8_medium_v1_rc1_same_run_matrix_20260624T161740Z/guard_local0_run3_system.log
guard_local0,3,hz8,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz8/libhakozuna_hz8_preload.so,367804508.226,457174336.861,14680064,14680064,351,3.500,0.000,0,0,bench_results/hz8_medium_v1_rc1_same_run_matrix_20260624T161740Z/guard_local0_run3_hz8.log
guard_local0,3,hz3,/mnt/workdisk/public_share/hakozuna_repo/libhakozuna_hz3_scale.so,260476952.836,663636612.500,25108480,29491200,3520,2.411,0.000,0,0,bench_results/hz8_medium_v1_rc1_same_run_matrix_20260624T161740Z/guard_local0_run3_hz3.log
guard_local0,4,mimalloc,/mnt/workdisk/public_share/hakozuna_repo/private/bench-assets/linux/allocators/x86_64/libmimalloc2.0/usr/lib/x86_64-linux-gnu/libmimalloc.so.2.0,23365156.433,23703670.694,19136512,19136512,1110,67.500,0.000,0,0,bench_results/hz8_medium_v1_rc1_same_run_matrix_20260624T161740Z/guard_local0_run4_mimalloc.log
guard_local0,4,tcmalloc,/mnt/workdisk/public_share/hakozuna_repo/private/bench-assets/linux/allocators/x86_64/libtcmalloc-minimal4/usr/lib/x86_64-linux-gnu/libtcmalloc_minimal.so.4.5.9,338353870.356,505352951.135,20054016,20054016,194,3.166,0.000,0,0,bench_results/hz8_medium_v1_rc1_same_run_matrix_20260624T161740Z/guard_local0_run4_tcmalloc.log
guard_local0,4,system,system,245626919.728,279529154.105,1703936,1703936,225,5.724,0.000,0,0,bench_results/hz8_medium_v1_rc1_same_run_matrix_20260624T161740Z/guard_local0_run4_system.log
guard_local0,4,hz8,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz8/libhakozuna_hz8_preload.so,366712498.089,447281451.294,14548992,14548992,347,3.577,0.000,0,0,bench_results/hz8_medium_v1_rc1_same_run_matrix_20260624T161740Z/guard_local0_run4_hz8.log
guard_local0,4,hz3,/mnt/workdisk/public_share/hakozuna_repo/libhakozuna_hz3_scale.so,259267517.410,650596922.677,25075712,29360128,3522,2.459,0.000,0,0,bench_results/hz8_medium_v1_rc1_same_run_matrix_20260624T161740Z/guard_local0_run4_hz3.log
guard_local0,4,hz4,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-mt/libhakozuna_hz4.so,85419892.157,88795333.139,149671936,149815296,33320,18.019,0.001,0,0,bench_results/hz8_medium_v1_rc1_same_run_matrix_20260624T161740Z/guard_local0_run4_hz4.log
guard_local0,5,tcmalloc,/mnt/workdisk/public_share/hakozuna_repo/private/bench-assets/linux/allocators/x86_64/libtcmalloc-minimal4/usr/lib/x86_64-linux-gnu/libtcmalloc_minimal.so.4.5.9,449687045.921,550260634.389,20185088,20185088,184,2.908,0.000,0,0,bench_results/hz8_medium_v1_rc1_same_run_matrix_20260624T161740Z/guard_local0_run5_tcmalloc.log
guard_local0,5,system,system,231009269.391,259078641.864,1572864,1572864,223,6.176,0.000,0,0,bench_results/hz8_medium_v1_rc1_same_run_matrix_20260624T161740Z/guard_local0_run5_system.log
guard_local0,5,hz8,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz8/libhakozuna_hz8_preload.so,364928375.964,468851553.979,14548992,14548992,353,3.413,0.000,0,0,bench_results/hz8_medium_v1_rc1_same_run_matrix_20260624T161740Z/guard_local0_run5_hz8.log
guard_local0,5,hz3,/mnt/workdisk/public_share/hakozuna_repo/libhakozuna_hz3_scale.so,265271031.558,647442480.805,25239552,29622272,3522,2.471,0.001,0,0,bench_results/hz8_medium_v1_rc1_same_run_matrix_20260624T161740Z/guard_local0_run5_hz3.log
guard_local0,5,hz4,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-mt/libhakozuna_hz4.so,87015129.266,90501837.781,149409792,149553152,33316,17.679,0.001,0,0,bench_results/hz8_medium_v1_rc1_same_run_matrix_20260624T161740Z/guard_local0_run5_hz4.log
guard_local0,5,mimalloc,/mnt/workdisk/public_share/hakozuna_repo/private/bench-assets/linux/allocators/x86_64/libmimalloc2.0/usr/lib/x86_64-linux-gnu/libmimalloc.so.2.0,22977640.229,23192046.612,19136512,19136512,1098,68.989,0.000,0,0,bench_results/hz8_medium_v1_rc1_same_run_matrix_20260624T161740Z/guard_local0_run5_mimalloc.log
guard_local0,6,system,system,238272985.488,266211622.267,1703936,1703936,208,6.010,0.000,0,0,bench_results/hz8_medium_v1_rc1_same_run_matrix_20260624T161740Z/guard_local0_run6_system.log
guard_local0,6,hz8,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz8/libhakozuna_hz8_preload.so,372304544.186,460512360.296,14548992,14548992,347,3.474,0.000,0,0,bench_results/hz8_medium_v1_rc1_same_run_matrix_20260624T161740Z/guard_local0_run6_hz8.log
guard_local0,6,hz3,/mnt/workdisk/public_share/hakozuna_repo/libhakozuna_hz3_scale.so,281504536.182,820044764.194,25120768,29491200,3511,1.951,0.000,0,0,bench_results/hz8_medium_v1_rc1_same_run_matrix_20260624T161740Z/guard_local0_run6_hz3.log
guard_local0,6,hz4,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-mt/libhakozuna_hz4.so,86611581.701,91824392.277,149266432,149553152,33319,17.425,0.001,0,0,bench_results/hz8_medium_v1_rc1_same_run_matrix_20260624T161740Z/guard_local0_run6_hz4.log
guard_local0,6,mimalloc,/mnt/workdisk/public_share/hakozuna_repo/private/bench-assets/linux/allocators/x86_64/libmimalloc2.0/usr/lib/x86_64-linux-gnu/libmimalloc.so.2.0,22838705.822,23171600.342,19136512,19136512,1088,69.050,0.000,0,0,bench_results/hz8_medium_v1_rc1_same_run_matrix_20260624T161740Z/guard_local0_run6_mimalloc.log
guard_local0,6,tcmalloc,/mnt/workdisk/public_share/hakozuna_repo/private/bench-assets/linux/allocators/x86_64/libtcmalloc-minimal4/usr/lib/x86_64-linux-gnu/libtcmalloc_minimal.so.4.5.9,445363005.644,527310915.369,20185088,20185088,191,3.034,0.000,0,0,bench_results/hz8_medium_v1_rc1_same_run_matrix_20260624T161740Z/guard_local0_run6_tcmalloc.log
guard_local0,7,hz8,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz8/libhakozuna_hz8_preload.so,370332565.588,467354690.664,14548992,14548992,349,3.424,0.000,0,0,bench_results/hz8_medium_v1_rc1_same_run_matrix_20260624T161740Z/guard_local0_run7_hz8.log
guard_local0,7,hz3,/mnt/workdisk/public_share/hakozuna_repo/libhakozuna_hz3_scale.so,264087936.001,812476799.979,25255936,29622272,3523,1.969,0.000,0,0,bench_results/hz8_medium_v1_rc1_same_run_matrix_20260624T161740Z/guard_local0_run7_hz3.log
guard_local0,7,hz4,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-mt/libhakozuna_hz4.so,87902703.574,91570028.809,149790720,149946368,33312,17.473,0.001,0,0,bench_results/hz8_medium_v1_rc1_same_run_matrix_20260624T161740Z/guard_local0_run7_hz4.log
guard_local0,7,mimalloc,/mnt/workdisk/public_share/hakozuna_repo/private/bench-assets/linux/allocators/x86_64/libmimalloc2.0/usr/lib/x86_64-linux-gnu/libmimalloc.so.2.0,22679918.089,22999414.607,19136512,19136512,1105,69.567,0.000,0,0,bench_results/hz8_medium_v1_rc1_same_run_matrix_20260624T161740Z/guard_local0_run7_mimalloc.log
guard_local0,7,tcmalloc,/mnt/workdisk/public_share/hakozuna_repo/private/bench-assets/linux/allocators/x86_64/libtcmalloc-minimal4/usr/lib/x86_64-linux-gnu/libtcmalloc_minimal.so.4.5.9,493673725.481,596037024.330,20185088,20185088,201,2.684,0.000,0,0,bench_results/hz8_medium_v1_rc1_same_run_matrix_20260624T161740Z/guard_local0_run7_tcmalloc.log
guard_local0,7,system,system,220968624.251,252164159.498,1835008,1835008,221,6.345,0.000,0,0,bench_results/hz8_medium_v1_rc1_same_run_matrix_20260624T161740Z/guard_local0_run7_system.log
guard_local0,8,hz3,/mnt/workdisk/public_share/hakozuna_repo/libhakozuna_hz3_scale.so,257235347.031,621231358.206,24879104,29229056,3523,2.576,0.000,0,0,bench_results/hz8_medium_v1_rc1_same_run_matrix_20260624T161740Z/guard_local0_run8_hz3.log
guard_local0,8,hz4,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-mt/libhakozuna_hz4.so,88217699.227,91188745.029,149413888,149553152,33327,17.546,0.000,0,0,bench_results/hz8_medium_v1_rc1_same_run_matrix_20260624T161740Z/guard_local0_run8_hz4.log
guard_local0,8,mimalloc,/mnt/workdisk/public_share/hakozuna_repo/private/bench-assets/linux/allocators/x86_64/libmimalloc2.0/usr/lib/x86_64-linux-gnu/libmimalloc.so.2.0,22873895.044,23142580.804,19136512,19136512,1096,69.137,0.000,0,0,bench_results/hz8_medium_v1_rc1_same_run_matrix_20260624T161740Z/guard_local0_run8_mimalloc.log
guard_local0,8,tcmalloc,/mnt/workdisk/public_share/hakozuna_repo/private/bench-assets/linux/allocators/x86_64/libtcmalloc-minimal4/usr/lib/x86_64-linux-gnu/libtcmalloc_minimal.so.4.5.9,442303816.833,535614336.253,20185088,20185088,208,2.987,0.000,0,0,bench_results/hz8_medium_v1_rc1_same_run_matrix_20260624T161740Z/guard_local0_run8_tcmalloc.log
