workload	allocator	run	wall_sec	max_rss_kb	current_rss_kb	extra
python_alloc	hz10	1	0.94	106584	-	-
redis_setget	hz10	1	0.55	7936	-	-
redis_server_rss_kb	hz10	1	-	NA	NA	server
larson	hz10	1	4.167	287360	287360	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	hz10	1	-	-	-	2095618
xmalloc_test	hz10	1	2.00	13824	-	-
cache_scratch	hz10	1	1.09	4096	-	-
mstress	hz10	1	0.21	201788	-	-
sh6bench	hz10	1	0.81	320896	-	-
python_alloc	hz10	2	0.94	106704	-	-
redis_setget	hz10	2	0.54	8320	-	-
redis_server_rss_kb	hz10	2	-	NA	NA	server
larson	hz10	2	4.169	287744	287744	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	hz10	2	-	-	-	2095610
xmalloc_test	hz10	2	2.00	15744	-	-
cache_scratch	hz10	2	1.10	3968	-	-
mstress	hz10	2	0.21	207524	-	-
sh6bench	hz10	2	0.82	317056	-	-
python_alloc	hz10	3	0.93	106776	-	-
redis_setget	hz10	3	0.56	8192	-	-
redis_server_rss_kb	hz10	3	-	NA	NA	server
larson	hz10	3	4.179	282732	282732	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	hz10	3	-	-	-	2095547
xmalloc_test	hz10	3	2.00	14336	-	-
cache_scratch	hz10	3	1.09	3968	-	-
mstress	hz10	3	0.21	205872	-	-
sh6bench	hz10	3	0.81	320256	-	-
python_alloc	hz10	4	0.93	106716	-	-
redis_setget	hz10	4	0.55	8064	-	-
redis_server_rss_kb	hz10	4	-	NA	NA	server
larson	hz10	4	4.187	289656	289656	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	hz10	4	-	-	-	2095616
xmalloc_test	hz10	4	2.00	14720	-	-
cache_scratch	hz10	4	1.11	3968	-	-
mstress	hz10	4	0.21	206036	-	-
sh6bench	hz10	4	0.87	314752	-	-
python_alloc	hz10	5	0.93	106732	-	-
redis_setget	hz10	5	0.55	8192	-	-
redis_server_rss_kb	hz10	5	-	NA	NA	server
larson	hz10	5	4.172	286840	286840	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	hz10	5	-	-	-	2095547
xmalloc_test	hz10	5	2.00	13952	-	-
cache_scratch	hz10	5	1.09	3968	-	-
mstress	hz10	5	0.22	200256	-	-
sh6bench	hz10	5	0.80	321536	-	-
python_alloc	hz10-front	1	1.01	107816	-	-
redis_setget	hz10-front	1	0.55	8320	-	-
redis_server_rss_kb	hz10-front	1	-	NA	NA	server
larson	hz10-front	1	4.184	285696	285696	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	hz10-front	1	-	-	-	2095541
xmalloc_test	hz10-front	1	2.00	13696	-	-
cache_scratch	hz10-front	1	1.11	4096	-	-
mstress	hz10-front	1	0.23	207628	-	-
sh6bench	hz10-front	1	0.81	321792	-	-
python_alloc	hz10-front	2	1.00	107856	-	-
redis_setget	hz10-front	2	0.55	8320	-	-
redis_server_rss_kb	hz10-front	2	-	NA	NA	server
larson	hz10-front	2	4.183	283648	283648	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	hz10-front	2	-	-	-	2095577
xmalloc_test	hz10-front	2	2.00	13696	-	-
cache_scratch	hz10-front	2	1.11	3968	-	-
mstress	hz10-front	2	0.23	203440	-	-
sh6bench	hz10-front	2	0.81	322048	-	-
python_alloc	hz10-front	3	1.02	107876	-	-
redis_setget	hz10-front	3	0.56	8064	-	-
redis_server_rss_kb	hz10-front	3	-	NA	NA	server
larson	hz10-front	3	4.182	284160	284160	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	hz10-front	3	-	-	-	2095488
xmalloc_test	hz10-front	3	2.00	13952	-	-
cache_scratch	hz10-front	3	1.11	3968	-	-
mstress	hz10-front	3	0.23	210064	-	-
sh6bench	hz10-front	3	0.80	322048	-	-
python_alloc	hz10-front	4	1.00	107428	-	-
redis_setget	hz10-front	4	0.55	8064	-	-
redis_server_rss_kb	hz10-front	4	-	NA	NA	server
larson	hz10-front	4	4.183	283776	283776	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	hz10-front	4	-	-	-	2095551
xmalloc_test	hz10-front	4	2.00	13440	-	-
cache_scratch	hz10-front	4	1.09	3968	-	-
mstress	hz10-front	4	0.23	209296	-	-
sh6bench	hz10-front	4	0.80	321664	-	-
python_alloc	hz10-front	5	0.99	107820	-	-
redis_setget	hz10-front	5	0.55	8192	-	-
redis_server_rss_kb	hz10-front	5	-	NA	NA	server
larson	hz10-front	5	4.156	287232	287232	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	hz10-front	5	-	-	-	2095552
xmalloc_test	hz10-front	5	2.00	13568	-	-
cache_scratch	hz10-front	5	1.11	3968	-	-
mstress	hz10-front	5	0.23	207316	-	-
sh6bench	hz10-front	5	0.80	321024	-	-
