lane,row,run,throughput,post_rss,peak_rss,work_ms,tail_ms,log
baseline,small_interleaved_remote90,1,15172340.338,44957696,44957696,50.331,1.507,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz10/bench_results/20260707T_hz10_explicit_orphan_purge_l0/baseline_small_interleaved_remote90_1.log
purge,small_interleaved_remote90,1,14517609.770,6123520,42598400,53.299,0.960,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz10/bench_results/20260707T_hz10_explicit_orphan_purge_l0/purge_small_interleaved_remote90_1.log
baseline,main_interleaved_r90,1,12296992.789,107610112,107610112,57.963,6.281,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz10/bench_results/20260707T_hz10_explicit_orphan_purge_l0/baseline_main_interleaved_r90_1.log
purge,main_interleaved_r90,1,12925799.882,6987776,98041856,56.874,4.294,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz10/bench_results/20260707T_hz10_explicit_orphan_purge_l0/purge_main_interleaved_r90_1.log
baseline,medium_interleaved_r50,1,18700687.019,87293952,87293952,35.326,6.619,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz10/bench_results/20260707T_hz10_explicit_orphan_purge_l0/baseline_medium_interleaved_r50_1.log
purge,medium_interleaved_r50,1,20019818.118,12431360,64487424,33.565,5.609,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz10/bench_results/20260707T_hz10_explicit_orphan_purge_l0/purge_medium_interleaved_r50_1.log
baseline,main_local0,1,116957969.984,35258368,35258368,5.493,0.432,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz10/bench_results/20260707T_hz10_explicit_orphan_purge_l0/baseline_main_local0_1.log
purge,main_local0,1,95840946.199,3874816,35651584,5.587,1.604,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz10/bench_results/20260707T_hz10_explicit_orphan_purge_l0/purge_main_local0_1.log
baseline,medium_local0,1,232902076.322,6553600,6553600,2.254,0.389,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz10/bench_results/20260707T_hz10_explicit_orphan_purge_l0/baseline_medium_local0_1.log
purge,medium_local0,1,222438543.706,3088384,6553600,2.181,0.509,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz10/bench_results/20260707T_hz10_explicit_orphan_purge_l0/purge_medium_local0_1.log
baseline,small_interleaved_remote90,2,15213905.708,46268416,46268416,50.326,1.428,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz10/bench_results/20260707T_hz10_explicit_orphan_purge_l0/baseline_small_interleaved_remote90_2.log
purge,small_interleaved_remote90,2,15118845.274,5578752,44040192,50.709,1.422,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz10/bench_results/20260707T_hz10_explicit_orphan_purge_l0/purge_small_interleaved_remote90_2.log
baseline,main_interleaved_r90,2,12819170.300,91619328,91619328,56.520,5.190,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz10/bench_results/20260707T_hz10_explicit_orphan_purge_l0/baseline_main_interleaved_r90_2.log
purge,main_interleaved_r90,2,12702231.029,8237056,88473600,56.406,5.885,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz10/bench_results/20260707T_hz10_explicit_orphan_purge_l0/purge_main_interleaved_r90_2.log
