lane,row,run,throughput,post_rss,peak_rss,minor_faults,work_ms,tail_ms,log
baseline,small_interleaved_remote90,1,15164199.947,41811968,41811968,9951,50.648,1.334,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz10/bench_results/20260707T_hz10_hz8_public_purge_matrix_l0/baseline_small_interleaved_remote90_1.log
purge,small_interleaved_remote90,1,15049676.442,5718016,40632320,9725,51.132,1.267,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz10/bench_results/20260707T_hz10_hz8_public_purge_matrix_l0/purge_small_interleaved_remote90_1.log
baseline,main_interleaved_r90,1,12264627.615,100401152,100401152,24270,57.669,6.854,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz10/bench_results/20260707T_hz10_hz8_public_purge_matrix_l0/baseline_main_interleaved_r90_1.log
purge,main_interleaved_r90,1,12136755.259,8220672,99745792,24054,59.814,5.351,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz10/bench_results/20260707T_hz10_hz8_public_purge_matrix_l0/purge_main_interleaved_r90_1.log
baseline,medium_interleaved_r50,1,18956797.931,72744960,72744960,17484,34.736,6.620,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz10/bench_results/20260707T_hz10_hz8_public_purge_matrix_l0/baseline_medium_interleaved_r50_1.log
purge,medium_interleaved_r50,1,21229437.598,7376896,54394880,13042,33.353,3.608,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz10/bench_results/20260707T_hz10_hz8_public_purge_matrix_l0/purge_medium_interleaved_r50_1.log
baseline,main_local0,1,101070602.996,35127296,35127296,8324,5.802,1.256,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz10/bench_results/20260707T_hz10_hz8_public_purge_matrix_l0/baseline_main_local0_1.log
purge,main_local0,1,116330167.117,3989504,35782656,8338,5.601,0.414,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz10/bench_results/20260707T_hz10_hz8_public_purge_matrix_l0/purge_main_local0_1.log
baseline,medium_local0,1,231865844.741,6422528,6422528,1272,2.229,0.354,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz10/bench_results/20260707T_hz10_hz8_public_purge_matrix_l0/baseline_medium_local0_1.log
purge,medium_local0,1,199992500.281,3182592,6422528,1272,2.614,0.419,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz10/bench_results/20260707T_hz10_hz8_public_purge_matrix_l0/purge_medium_local0_1.log
baseline,small_interleaved_remote90,2,14939709.402,41811968,41811968,10006,51.034,1.710,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz10/bench_results/20260707T_hz10_hz8_public_purge_matrix_l0/baseline_small_interleaved_remote90_2.log
purge,small_interleaved_remote90,2,14781327.171,6029312,48234496,11514,50.934,2.369,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz10/bench_results/20260707T_hz10_hz8_public_purge_matrix_l0/purge_small_interleaved_remote90_2.log
baseline,main_interleaved_r90,2,12590964.010,99090432,99090432,23885,57.326,5.453,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz10/bench_results/20260707T_hz10_hz8_public_purge_matrix_l0/baseline_main_interleaved_r90_2.log
purge,main_interleaved_r90,2,12446156.759,10616832,107347968,26004,57.623,5.924,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz10/bench_results/20260707T_hz10_hz8_public_purge_matrix_l0/purge_main_interleaved_r90_2.log
baseline,medium_interleaved_r50,2,19870969.844,70123520,70123520,16843,33.987,5.487,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz10/bench_results/20260707T_hz10_hz8_public_purge_matrix_l0/baseline_medium_interleaved_r50_2.log
purge,medium_interleaved_r50,2,18927028.639,18518016,80740352,19440,34.529,7.047,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz10/bench_results/20260707T_hz10_hz8_public_purge_matrix_l0/purge_medium_interleaved_r50_2.log
baseline,main_local0,2,90726195.148,35389440,35389440,8306,6.573,1.390,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz10/bench_results/20260707T_hz10_hz8_public_purge_matrix_l0/baseline_main_local0_2.log
