row,run,post_rss,peak_rss,depth,idle_pages,live_pinned_pages,hidden_pending_slots,age_lt_100ms,age_lt_1s,age_lt_4s,age_lt_16s,age_ge_16s,log
small_interleaved_remote90,1,43909120,44040192,643,16,627,42813,643,0,0,0,0,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz10/bench_results/20260707T_hz10_orphan_registry_idle_age_probe_l0/small_interleaved_remote90_hz10_1.log
main_interleaved_r90,1,79298560,79298560,2173,6,2167,20739,2173,0,0,0,0,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz10/bench_results/20260707T_hz10_orphan_registry_idle_age_probe_l0/main_interleaved_r90_hz10_1.log
medium_interleaved_r50,1,63832064,63832064,2884,24,2860,4373,2884,0,0,0,0,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz10/bench_results/20260707T_hz10_orphan_registry_idle_age_probe_l0/medium_interleaved_r50_hz10_1.log
main_local0,1,34865152,34996224,570,570,0,0,570,0,0,0,0,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz10/bench_results/20260707T_hz10_orphan_registry_idle_age_probe_l0/main_local0_hz10_1.log
medium_local0,1,6422528,6422528,160,160,0,0,160,0,0,0,0,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz10/bench_results/20260707T_hz10_orphan_registry_idle_age_probe_l0/medium_local0_hz10_1.log
small_interleaved_remote90,2,44171264,44171264,646,16,630,42762,646,0,0,0,0,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz10/bench_results/20260707T_hz10_orphan_registry_idle_age_probe_l0/small_interleaved_remote90_hz10_2.log
main_interleaved_r90,2,96075776,96075776,2763,7,2756,22359,2763,0,0,0,0,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz10/bench_results/20260707T_hz10_orphan_registry_idle_age_probe_l0/main_interleaved_r90_hz10_2.log
medium_interleaved_r50,2,72613888,72613888,3139,32,3107,4822,3139,0,0,0,0,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz10/bench_results/20260707T_hz10_orphan_registry_idle_age_probe_l0/medium_interleaved_r50_hz10_2.log
main_local0,2,35127296,35127296,571,571,0,0,571,0,0,0,0,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz10/bench_results/20260707T_hz10_orphan_registry_idle_age_probe_l0/main_local0_hz10_2.log
medium_local0,2,6291456,6291456,160,160,0,0,160,0,0,0,0,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz10/bench_results/20260707T_hz10_orphan_registry_idle_age_probe_l0/medium_local0_hz10_2.log
small_interleaved_remote90,3,47841280,47841280,705,16,689,44166,705,0,0,0,0,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz10/bench_results/20260707T_hz10_orphan_registry_idle_age_probe_l0/small_interleaved_remote90_hz10_3.log
main_interleaved_r90,3,97779712,97779712,2821,5,2816,22675,2821,0,0,0,0,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz10/bench_results/20260707T_hz10_orphan_registry_idle_age_probe_l0/main_interleaved_r90_hz10_3.log
medium_interleaved_r50,3,76283904,76283904,3454,29,3425,5120,3454,0,0,0,0,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz10/bench_results/20260707T_hz10_orphan_registry_idle_age_probe_l0/medium_interleaved_r50_hz10_3.log
main_local0,3,35258368,35389440,569,569,0,0,569,0,0,0,0,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz10/bench_results/20260707T_hz10_orphan_registry_idle_age_probe_l0/main_local0_hz10_3.log
medium_local0,3,6291456,6291456,160,160,0,0,160,0,0,0,0,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz10/bench_results/20260707T_hz10_orphan_registry_idle_age_probe_l0/medium_local0_hz10_3.log
