workload	allocator	run	wall_sec	max_rss_kb	current_rss_kb	extra
python_alloc	hz10	1	0.86	106664	-	-
redis_setget	hz10	1	0.54	8064	-	-
redis_server_rss_kb	hz10	1	-	NA	NA	server
larson	hz10	1	4.164	284416	284416	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	hz10	1	-	-	-	2095612
xmalloc_test	hz10	1	2.00	13696	-	-
cache_scratch	hz10	1	1.10	3968	-	-
mstress	hz10	1	0.21	206000	-	-
sh6bench	hz10	1	0.47	322048	-	-
python_alloc	hz10	2	0.84	106948	-	-
redis_setget	hz10	2	0.54	8192	-	-
redis_server_rss_kb	hz10	2	-	NA	NA	server
larson	hz10	2	4.183	289024	289024	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	hz10	2	-	-	-	2095610
xmalloc_test	hz10	2	2.00	13184	-	-
cache_scratch	hz10	2	1.11	4096	-	-
mstress	hz10	2	0.21	203236	-	-
sh6bench	hz10	2	0.49	318208	-	-
python_alloc	hz10	3	0.85	106796	-	-
redis_setget	hz10	3	0.54	8192	-	-
redis_server_rss_kb	hz10	3	-	NA	NA	server
larson	hz10	3	4.183	282368	282368	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	hz10	3	-	-	-	2095612
xmalloc_test	hz10	3	2.00	13312	-	-
cache_scratch	hz10	3	1.09	3968	-	-
mstress	hz10	3	0.21	204556	-	-
sh6bench	hz10	3	0.47	321024	-	-
python_alloc	hz10	4	0.86	106576	-	-
redis_setget	hz10	4	0.54	8064	-	-
redis_server_rss_kb	hz10	4	-	NA	NA	server
larson	hz10	4	4.188	283008	283008	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	hz10	4	-	-	-	2095544
xmalloc_test	hz10	4	2.00	13056	-	-
cache_scratch	hz10	4	1.09	3968	-	-
mstress	hz10	4	0.21	201384	-	-
sh6bench	hz10	4	0.47	320128	-	-
python_alloc	hz10	5	0.85	106644	-	-
redis_setget	hz10	5	0.55	8064	-	-
redis_server_rss_kb	hz10	5	-	NA	NA	server
larson	hz10	5	4.172	281728	281728	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	hz10	5	-	-	-	2095617
xmalloc_test	hz10	5	2.00	13056	-	-
cache_scratch	hz10	5	1.10	3968	-	-
mstress	hz10	5	0.21	206724	-	-
sh6bench	hz10	5	0.47	321152	-	-
