workload	allocator	median_wall_sec	median_max_rss_kb	median_current_rss_kb	wall_vs_glibc
cache_scratch	glibc	1.100	3456	-	1.000
cache_scratch	hz10	1.100	3968	-	1.000
cache_scratch	hz10+orphan	1.100	3968	-	1.000
cache_scratch	hz10-base	1.130	3968	-	1.027
cache_scratch	hz10-coarse	1.100	3968	-	1.000
cache_scratch	mimalloc	1.100	5724	-	1.000
cache_scratch	tcmalloc	1.100	7552	-	1.000
larson	glibc	4.147	272640	272640	1.000
larson	hz10	4.187	284404	284404	1.010
larson	hz10+orphan	4.284	2384384	2384384	1.033
larson	hz10-base	4.123	9184000	9184000	0.994
larson	hz10-coarse	4.175	286720	286720	1.007
larson	mimalloc	4.154	284148	284148	1.002
larson	tcmalloc	4.153	278784	278784	1.001
mstress	glibc	0.210	363524	-	1.000
mstress	hz10	0.210	204416	-	1.000
mstress	hz10+orphan	0.210	208580	-	1.000
mstress	hz10-base	0.250	403524	-	1.190
mstress	hz10-coarse	0.210	203252	-	1.000
mstress	mimalloc	0.240	341100	-	1.143
mstress	tcmalloc	0.160	218368	-	0.762
python_alloc	glibc	1.210	92188	-	1.000
python_alloc	hz10	0.850	106836	-	0.702
python_alloc	hz10+orphan	0.880	116780	-	0.727
python_alloc	hz10-base	0.880	116740	-	0.727
python_alloc	hz10-coarse	0.860	116936	-	0.711
python_alloc	mimalloc	0.690	102412	-	0.570
python_alloc	tcmalloc	0.830	104448	-	0.686
redis_setget	glibc	0.520	8064	-	1.000
redis_setget	hz10	0.540	8064	-	1.038
redis_setget	hz10+orphan	0.550	8064	-	1.058
redis_setget	hz10-base	0.550	8064	-	1.058
redis_setget	hz10-coarse	0.540	8064	-	1.038
redis_setget	mimalloc	0.550	8064	-	1.058
redis_setget	tcmalloc	0.550	8064	-	1.058
sh6bench	glibc	0.950	424576	-	1.000
sh6bench	hz10	0.480	318976	-	0.505
sh6bench	hz10+orphan	0.500	323840	-	0.526
sh6bench	hz10-base	0.480	324480	-	0.505
sh6bench	hz10-coarse	0.500	321920	-	0.526
sh6bench	mimalloc	0.250	272700	-	0.263
sh6bench	tcmalloc	0.320	271232	-	0.337
xmalloc_test	glibc	2.040	198224	-	1.000
xmalloc_test	hz10	2.000	13056	-	0.980
xmalloc_test	hz10+orphan	2.000	13056	-	0.980
xmalloc_test	hz10-base	2.000	13312	-	0.980
xmalloc_test	hz10-coarse	2.000	13184	-	0.980
xmalloc_test	mimalloc	2.000	22480	-	0.980
xmalloc_test	tcmalloc	2.030	195968	-	0.995
