workload	allocator	run	wall_sec	max_rss_kb	current_rss_kb	extra
python_alloc	hz10	1	0.87	106652	-	-
redis_setget	hz10	1	0.54	8064	-	-
redis_server_rss_kb	hz10	1	-	NA	NA	server
larson	hz10	1	4.152	283264	283264	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	hz10	1	-	-	-	2095547
xmalloc_test	hz10	1	2.00	13568	-	-
cache_scratch	hz10	1	1.08	3968	-	-
mstress	hz10	1	0.21	204620	-	-
sh6bench	hz10	1	0.49	319104	-	-
python_alloc	hz10	2	0.87	106800	-	-
redis_setget	hz10	2	0.52	8320	-	-
redis_server_rss_kb	hz10	2	-	NA	NA	server
larson	hz10	2	4.177	287488	287488	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	hz10	2	-	-	-	2095607
xmalloc_test	hz10	2	2.00	13568	-	-
cache_scratch	hz10	2	1.09	3968	-	-
mstress	hz10	2	0.21	201824	-	-
sh6bench	hz10	2	0.49	322304	-	-
python_alloc	hz10	3	0.87	106692	-	-
redis_setget	hz10	3	0.54	8064	-	-
redis_server_rss_kb	hz10	3	-	NA	NA	server
larson	hz10	3	4.135	283640	283640	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	hz10	3	-	-	-	2095615
xmalloc_test	hz10	3	2.00	13312	-	-
cache_scratch	hz10	3	1.08	3968	-	-
mstress	hz10	3	0.21	200064	-	-
sh6bench	hz10	3	0.50	316160	-	-
python_alloc	hz10	4	0.85	106832	-	-
redis_setget	hz10	4	0.54	8320	-	-
redis_server_rss_kb	hz10	4	-	NA	NA	server
larson	hz10	4	4.177	282736	282736	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	hz10	4	-	-	-	2095610
xmalloc_test	hz10	4	2.00	14720	-	-
cache_scratch	hz10	4	1.10	4096	-	-
mstress	hz10	4	0.21	207384	-	-
sh6bench	hz10	4	0.49	322432	-	-
python_alloc	hz10	5	0.86	106840	-	-
redis_setget	hz10	5	0.54	8064	-	-
redis_server_rss_kb	hz10	5	-	NA	NA	server
larson	hz10	5	4.125	282496	282496	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	hz10	5	-	-	-	2095546
xmalloc_test	hz10	5	2.00	14080	-	-
cache_scratch	hz10	5	1.10	3968	-	-
mstress	hz10	5	0.22	204320	-	-
sh6bench	hz10	5	0.49	320896	-	-
