workload	allocator	run	wall_sec	max_rss_kb	current_rss_kb	extra
python_alloc	hz10	1	0.86	106448	-	-
redis_setget	hz10	1	0.54	7936	-	-
redis_server_rss_kb	hz10	1	-	NA	NA	server
larson	hz10	1	4.179	283768	283768	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	hz10	1	-	-	-	2095541
xmalloc_test	hz10	1	2.00	13312	-	-
cache_scratch	hz10	1	1.12	3968	-	-
mstress	hz10	1	0.21	205140	-	-
sh6bench	hz10	1	0.51	320256	-	-
python_alloc	hz10	2	0.88	106924	-	-
redis_setget	hz10	2	0.54	7936	-	-
redis_server_rss_kb	hz10	2	-	NA	NA	server
larson	hz10	2	4.181	283008	283008	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	hz10	2	-	-	-	2095546
xmalloc_test	hz10	2	2.00	13184	-	-
cache_scratch	hz10	2	1.09	3968	-	-
mstress	hz10	2	0.21	203052	-	-
sh6bench	hz10	2	0.51	320128	-	-
python_alloc	hz10	3	0.85	106788	-	-
redis_setget	hz10	3	0.55	8192	-	-
redis_server_rss_kb	hz10	3	-	NA	NA	server
larson	hz10	3	4.179	283384	283384	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	hz10	3	-	-	-	2095611
xmalloc_test	hz10	3	2.00	13312	-	-
cache_scratch	hz10	3	1.08	3968	-	-
mstress	hz10	3	0.21	202208	-	-
sh6bench	hz10	3	0.51	321792	-	-
python_alloc	hz10	4	0.87	106608	-	-
redis_setget	hz10	4	0.54	8064	-	-
redis_server_rss_kb	hz10	4	-	NA	NA	server
larson	hz10	4	4.178	288256	288256	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	hz10	4	-	-	-	2095609
xmalloc_test	hz10	4	2.00	13696	-	-
cache_scratch	hz10	4	1.09	3968	-	-
mstress	hz10	4	0.21	204200	-	-
sh6bench	hz10	4	0.51	321536	-	-
python_alloc	hz10	5	0.85	106628	-	-
redis_setget	hz10	5	0.54	8192	-	-
redis_server_rss_kb	hz10	5	-	NA	NA	server
larson	hz10	5	4.181	283904	283904	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	hz10	5	-	-	-	2095611
xmalloc_test	hz10	5	2.00	15872	-	-
cache_scratch	hz10	5	1.10	4096	-	-
mstress	hz10	5	0.21	202344	-	-
sh6bench	hz10	5	0.51	321920	-	-
