workload	allocator	median_wall_sec	median_max_rss_kb	median_current_rss_kb	wall_vs_glibc
cache_scratch	glibc	1.090	3456	-	1.000
cache_scratch	hz10	1.100	3968	-	1.009
cache_scratch	hz10+orphan	1.100	3968	-	1.009
cache_scratch	hz10-base	1.120	3968	-	1.028
cache_scratch	hz10-coarse	1.090	3968	-	1.000
cache_scratch	mimalloc	1.100	5724	-	1.009
cache_scratch	tcmalloc	1.100	7552	-	1.009
larson	glibc	4.140	272384	272384	1.000
larson	hz10	4.179	283392	283392	1.009
larson	hz10+orphan	4.293	2384384	2384384	1.037
larson	hz10-base	4.150	9158784	9158784	1.002
larson	hz10-coarse	4.181	284800	284800	1.010
larson	mimalloc	4.161	283872	283872	1.005
larson	tcmalloc	4.158	279040	279040	1.004
mstress	glibc	0.220	363848	-	1.000
mstress	hz10	0.210	204012	-	0.955
mstress	hz10+orphan	0.220	209780	-	1.000
mstress	hz10-base	0.250	400836	-	1.136
mstress	hz10-coarse	0.210	201656	-	0.955
mstress	mimalloc	0.240	334952	-	1.091
mstress	tcmalloc	0.160	224384	-	0.727
python_alloc	glibc	1.220	92168	-	1.000
python_alloc	hz10	0.870	106728	-	0.713
python_alloc	hz10+orphan	0.880	116860	-	0.721
python_alloc	hz10-base	0.910	116808	-	0.746
python_alloc	hz10-coarse	0.880	116920	-	0.721
python_alloc	mimalloc	0.700	102364	-	0.574
python_alloc	tcmalloc	0.820	104448	-	0.672
redis_setget	glibc	0.540	8192	-	1.000
redis_setget	hz10	0.540	8064	-	1.000
redis_setget	hz10+orphan	0.550	8192	-	1.019
redis_setget	hz10-base	0.550	7936	-	1.019
redis_setget	hz10-coarse	0.550	8192	-	1.019
redis_setget	mimalloc	0.540	8064	-	1.000
redis_setget	tcmalloc	0.550	8192	-	1.019
sh6bench	glibc	0.950	424576	-	1.000
sh6bench	hz10	0.510	319488	-	0.537
sh6bench	hz10+orphan	0.500	323968	-	0.526
sh6bench	hz10-base	0.520	324480	-	0.547
sh6bench	hz10-coarse	0.530	322176	-	0.558
sh6bench	mimalloc	0.250	272844	-	0.263
sh6bench	tcmalloc	0.320	272384	-	0.337
xmalloc_test	glibc	2.040	198360	-	1.000
xmalloc_test	hz10	2.000	13440	-	0.980
xmalloc_test	hz10+orphan	2.000	13184	-	0.980
xmalloc_test	hz10-base	2.000	12928	-	0.980
xmalloc_test	hz10-coarse	2.000	13312	-	0.980
xmalloc_test	mimalloc	2.000	22608	-	0.980
xmalloc_test	tcmalloc	2.030	196224	-	0.995
