workload	allocator	run	wall_sec	max_rss_kb	current_rss_kb	extra
python_alloc	glibc	1	1.21	92024	-	-
redis_setget	glibc	1	0.54	8192	-	-
redis_server_rss_kb	glibc	1	-	NA	NA	server
larson	glibc	1	4.139	272384	272384	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	glibc	1	-	-	-	2095537
xmalloc_test	glibc	1	2.04	198360	-	-
cache_scratch	glibc	1	1.09	3584	-	-
mstress	glibc	1	0.21	367024	-	-
sh6bench	glibc	1	0.94	424448	-	-
python_alloc	glibc	2	1.22	92168	-	-
redis_setget	glibc	2	0.54	8192	-	-
redis_server_rss_kb	glibc	2	-	NA	NA	server
larson	glibc	2	4.136	272512	272512	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	glibc	2	-	-	-	2095415
xmalloc_test	glibc	2	2.04	199264	-	-
cache_scratch	glibc	2	1.09	3584	-	-
mstress	glibc	2	0.22	363696	-	-
sh6bench	glibc	2	0.94	424576	-	-
python_alloc	glibc	3	1.21	92420	-	-
redis_setget	glibc	3	0.54	7936	-	-
redis_server_rss_kb	glibc	3	-	NA	NA	server
larson	glibc	3	4.140	272384	272384	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	glibc	3	-	-	-	2095400
xmalloc_test	glibc	3	2.04	198808	-	-
cache_scratch	glibc	3	1.09	3456	-	-
mstress	glibc	3	0.22	356448	-	-
sh6bench	glibc	3	0.97	424960	-	-
python_alloc	glibc	4	1.22	91932	-	-
redis_setget	glibc	4	0.54	8192	-	-
redis_server_rss_kb	glibc	4	-	NA	NA	server
larson	glibc	4	4.158	272256	272256	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	glibc	4	-	-	-	2095357
xmalloc_test	glibc	4	2.04	198312	-	-
cache_scratch	glibc	4	1.10	3456	-	-
mstress	glibc	4	0.21	364004	-	-
sh6bench	glibc	4	0.95	424320	-	-
python_alloc	glibc	5	1.22	92420	-	-
redis_setget	glibc	5	0.54	8192	-	-
redis_server_rss_kb	glibc	5	-	NA	NA	server
larson	glibc	5	4.141	272384	272384	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	glibc	5	-	-	-	2095473
xmalloc_test	glibc	5	2.04	198232	-	-
cache_scratch	glibc	5	1.09	3456	-	-
mstress	glibc	5	0.22	363848	-	-
sh6bench	glibc	5	0.95	424704	-	-
python_alloc	hz10	1	0.87	106756	-	-
redis_setget	hz10	1	0.54	8448	-	-
redis_server_rss_kb	hz10	1	-	NA	NA	server
larson	hz10	1	4.178	282752	282752	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	hz10	1	-	-	-	2095547
xmalloc_test	hz10	1	2.00	13440	-	-
cache_scratch	hz10	1	1.11	3968	-	-
mstress	hz10	1	0.21	202344	-	-
sh6bench	hz10	1	0.51	319616	-	-
python_alloc	hz10	2	0.88	106712	-	-
redis_setget	hz10	2	0.55	8192	-	-
redis_server_rss_kb	hz10	2	-	NA	NA	server
larson	hz10	2	4.188	289920	289920	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	hz10	2	-	-	-	2095616
xmalloc_test	hz10	2	2.00	13440	-	-
cache_scratch	hz10	2	1.11	4096	-	-
mstress	hz10	2	0.21	207344	-	-
sh6bench	hz10	2	0.51	319488	-	-
python_alloc	hz10	3	0.86	106728	-	-
redis_setget	hz10	3	0.55	8064	-	-
redis_server_rss_kb	hz10	3	-	NA	NA	server
larson	hz10	3	4.184	286592	286592	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	hz10	3	-	-	-	2095548
xmalloc_test	hz10	3	2.00	13440	-	-
cache_scratch	hz10	3	1.10	3968	-	-
mstress	hz10	3	0.21	204012	-	-
sh6bench	hz10	3	0.53	315904	-	-
python_alloc	hz10	4	0.89	106580	-	-
redis_setget	hz10	4	0.54	8064	-	-
redis_server_rss_kb	hz10	4	-	NA	NA	server
larson	hz10	4	4.179	283392	283392	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	hz10	4	-	-	-	2095548
xmalloc_test	hz10	4	2.00	14592	-	-
