workload	allocator	run	wall_sec	max_rss_kb	current_rss_kb	extra
python_alloc	hz10	1	0.88	106628	-	-
redis_setget	hz10	1	0.54	8064	-	-
redis_server_rss_kb	hz10	1	-	NA	NA	server
larson	hz10	1	4.171	284792	284792	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	hz10	1	-	-	-	2095544
xmalloc_test	hz10	1	2.00	13184	-	-
cache_scratch	hz10	1	1.09	4096	-	-
mstress	hz10	1	0.22	205032	-	-
sh6bench	hz10	1	0.65	319744	-	-
python_alloc	hz10	2	0.88	106904	-	-
redis_setget	hz10	2	0.54	8192	-	-
redis_server_rss_kb	hz10	2	-	NA	NA	server
larson	hz10	2	4.184	286592	286592	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	hz10	2	-	-	-	2095544
xmalloc_test	hz10	2	2.00	14080	-	-
cache_scratch	hz10	2	1.09	4096	-	-
mstress	hz10	2	0.21	206436	-	-
sh6bench	hz10	2	0.66	318336	-	-
python_alloc	hz10	3	0.87	106624	-	-
redis_setget	hz10	3	0.54	8064	-	-
redis_server_rss_kb	hz10	3	-	NA	NA	server
larson	hz10	3	4.182	288380	288380	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	hz10	3	-	-	-	2095611
xmalloc_test	hz10	3	2.00	17792	-	-
cache_scratch	hz10	3	1.09	3968	-	-
mstress	hz10	3	0.22	201716	-	-
sh6bench	hz10	3	0.70	315392	-	-
python_alloc	hz10	4	0.93	106648	-	-
redis_setget	hz10	4	0.54	8064	-	-
redis_server_rss_kb	hz10	4	-	NA	NA	server
larson	hz10	4	4.177	283768	283768	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	hz10	4	-	-	-	2095548
xmalloc_test	hz10	4	2.00	13184	-	-
cache_scratch	hz10	4	1.10	3968	-	-
mstress	hz10	4	0.22	203432	-	-
sh6bench	hz10	4	0.65	321152	-	-
python_alloc	hz10	5	0.90	106532	-	-
redis_setget	hz10	5	0.54	8192	-	-
redis_server_rss_kb	hz10	5	-	NA	NA	server
larson	hz10	5	4.183	287744	287744	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	hz10	5	-	-	-	2095551
xmalloc_test	hz10	5	2.00	15232	-	-
cache_scratch	hz10	5	1.09	3968	-	-
mstress	hz10	5	0.21	201356	-	-
sh6bench	hz10	5	0.66	319616	-	-
