workload	allocator	run	wall_sec	max_rss_kb	current_rss_kb	extra
python_alloc	tcmalloc	1	0.84	104192	-	-
redis_setget	tcmalloc	1	0.55	8064	-	-
redis_server_rss_kb	tcmalloc	1	-	NA	NA	server
larson	tcmalloc	1	4.147	278912	278912	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	tcmalloc	1	-	-	-	2095346
xmalloc_test	tcmalloc	1	2.03	195584	-	-
cache_scratch	tcmalloc	1	1.09	7552	-	-
mstress	tcmalloc	1	0.16	211968	-	-
sh6bench	tcmalloc	1	0.31	272128	-	-
python_alloc	tcmalloc	2	0.82	104448	-	-
redis_setget	tcmalloc	2	0.55	8192	-	-
redis_server_rss_kb	tcmalloc	2	-	NA	NA	server
larson	tcmalloc	2	4.129	279168	279168	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	tcmalloc	2	-	-	-	2095361
xmalloc_test	tcmalloc	2	2.03	195712	-	-
cache_scratch	tcmalloc	2	1.09	7552	-	-
mstress	tcmalloc	2	0.16	215168	-	-
sh6bench	tcmalloc	2	0.32	271360	-	-
python_alloc	tcmalloc	3	0.84	106624	-	-
redis_setget	tcmalloc	3	0.55	7936	-	-
redis_server_rss_kb	tcmalloc	3	-	NA	NA	server
larson	tcmalloc	3	4.156	279040	279040	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	tcmalloc	3	-	-	-	2095356
xmalloc_test	tcmalloc	3	2.03	196608	-	-
cache_scratch	tcmalloc	3	1.09	7424	-	-
mstress	tcmalloc	3	0.16	219136	-	-
sh6bench	tcmalloc	3	0.33	271232	-	-
python_alloc	tcmalloc	4	0.83	104448	-	-
redis_setget	tcmalloc	4	0.55	8064	-	-
redis_server_rss_kb	tcmalloc	4	-	NA	NA	server
larson	tcmalloc	4	4.145	279040	279040	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	tcmalloc	4	-	-	-	2095348
xmalloc_test	tcmalloc	4	2.03	196096	-	-
cache_scratch	tcmalloc	4	1.10	7680	-	-
mstress	tcmalloc	4	0.17	216576	-	-
sh6bench	tcmalloc	4	0.32	271104	-	-
python_alloc	tcmalloc	5	0.84	104576	-	-
redis_setget	tcmalloc	5	0.55	8064	-	-
redis_server_rss_kb	tcmalloc	5	-	NA	NA	server
larson	tcmalloc	5	4.150	279168	279168	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	tcmalloc	5	-	-	-	2095351
xmalloc_test	tcmalloc	5	2.03	196224	-	-
cache_scratch	tcmalloc	5	1.10	7552	-	-
mstress	tcmalloc	5	0.17	218368	-	-
sh6bench	tcmalloc	5	0.32	272000	-	-
python_alloc	mimalloc	1	0.68	102668	-	-
redis_setget	mimalloc	1	0.55	8064	-	-
redis_server_rss_kb	mimalloc	1	-	NA	NA	server
larson	mimalloc	1	4.148	283936	283936	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	mimalloc	1	-	-	-	2095755
xmalloc_test	mimalloc	1	2.00	20548	-	-
cache_scratch	mimalloc	1	1.11	5724	-	-
mstress	mimalloc	1	0.28	333964	-	-
sh6bench	mimalloc	1	0.25	273868	-	-
python_alloc	mimalloc	2	0.70	102624	-	-
redis_setget	mimalloc	2	0.55	7936	-	-
redis_server_rss_kb	mimalloc	2	-	NA	NA	server
larson	mimalloc	2	4.137	283980	283980	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	mimalloc	2	-	-	-	2095736
xmalloc_test	mimalloc	2	2.00	38992	-	-
cache_scratch	mimalloc	2	1.10	5852	-	-
mstress	mimalloc	2	0.21	337272	-	-
sh6bench	mimalloc	2	0.25	273132	-	-
python_alloc	mimalloc	3	0.68	102508	-	-
redis_setget	mimalloc	3	0.55	8064	-	-
redis_server_rss_kb	mimalloc	3	-	NA	NA	server
larson	mimalloc	3	4.160	284044	284044	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	mimalloc	3	-	-	-	2095729
xmalloc_test	mimalloc	3	2.00	20428	-	-
cache_scratch	mimalloc	3	1.09	5724	-	-
mstress	mimalloc	3	0.16	313436	-	-
sh6bench	mimalloc	3	0.24	273868	-	-
python_alloc	mimalloc	4	0.68	102480	-	-
redis_setget	mimalloc	4	0.55	8192	-	-
redis_server_rss_kb	mimalloc	4	-	NA	NA	server
larson	mimalloc	4	4.163	285300	285300	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	mimalloc	4	-	-	-	2095738
xmalloc_test	mimalloc	4	2.00	22608	-	-
cache_scratch	mimalloc	4	1.12	5724	-	-
mstress	mimalloc	4	0.20	349400	-	-
sh6bench	mimalloc	4	0.26	273704	-	-
python_alloc	mimalloc	5	0.71	102360	-	-
redis_setget	mimalloc	5	0.55	8192	-	-
redis_server_rss_kb	mimalloc	5	-	NA	NA	server
larson	mimalloc	5	4.144	283840	283840	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	mimalloc	5	-	-	-	2095735
xmalloc_test	mimalloc	5	2.00	22608	-	-
cache_scratch	mimalloc	5	1.09	5724	-	-
mstress	mimalloc	5	0.18	327608	-	-
sh6bench	mimalloc	5	0.26	272116	-	-
