workload	allocator	median_wall_sec	median_max_rss_kb	median_current_rss_kb	wall_vs_glibc
cache_scratch	glibc	1.090	3456	-	1.000
cache_scratch	hz10	1.090	3968	-	1.000
cache_scratch	hz10+orphan	1.100	3968	-	1.009
cache_scratch	hz10-base	1.110	3968	-	1.018
cache_scratch	hz10-coarse	1.100	3968	-	1.009
cache_scratch	mimalloc	1.100	5724	-	1.009
cache_scratch	tcmalloc	1.100	7680	-	1.009
larson	glibc	4.142	272384	272384	1.000
larson	hz10	4.186	283776	283776	1.011
larson	hz10+orphan	4.285	2383616	2383616	1.035
larson	hz10-base	4.103	9179648	9179648	0.991
larson	hz10-coarse	4.185	287616	287616	1.010
larson	mimalloc	4.148	284148	284148	1.001
larson	tcmalloc	4.147	279040	279040	1.001
mstress	glibc	0.210	362320	-	1.000
mstress	hz10	0.220	204268	-	1.048
mstress	hz10+orphan	0.220	211308	-	1.048
mstress	hz10-base	0.260	402520	-	1.238
mstress	hz10-coarse	0.220	204932	-	1.048
mstress	mimalloc	0.220	328080	-	1.048
mstress	tcmalloc	0.160	219008	-	0.762
python_alloc	glibc	1.160	91924	-	1.000
python_alloc	hz10	0.900	106772	-	0.776
python_alloc	hz10+orphan	0.910	116900	-	0.784
python_alloc	hz10-base	0.940	116884	-	0.810
python_alloc	hz10-coarse	0.910	116832	-	0.784
python_alloc	mimalloc	0.700	102412	-	0.603
python_alloc	tcmalloc	0.830	104448	-	0.716
redis_setget	glibc	0.550	8064	-	1.000
redis_setget	hz10	0.550	8064	-	1.000
redis_setget	hz10+orphan	0.550	8064	-	1.000
redis_setget	hz10-base	0.550	8064	-	1.000
redis_setget	hz10-coarse	0.550	8064	-	1.000
redis_setget	mimalloc	0.550	8192	-	1.000
redis_setget	tcmalloc	0.550	8064	-	1.000
sh6bench	glibc	0.930	424576	-	1.000
sh6bench	hz10	0.700	320896	-	0.753
sh6bench	hz10+orphan	0.700	323584	-	0.753
sh6bench	hz10-base	0.670	324480	-	0.720
sh6bench	hz10-coarse	0.670	323072	-	0.720
sh6bench	mimalloc	0.270	272720	-	0.290
sh6bench	tcmalloc	0.320	271616	-	0.344
xmalloc_test	glibc	2.040	198560	-	1.000
xmalloc_test	hz10	2.000	13312	-	0.980
xmalloc_test	hz10+orphan	2.000	14848	-	0.980
xmalloc_test	hz10-base	2.000	15104	-	0.980
xmalloc_test	hz10-coarse	2.000	13568	-	0.980
xmalloc_test	mimalloc	2.000	20576	-	0.980
xmalloc_test	tcmalloc	2.030	195968	-	0.995
