workload	allocator	run	wall_sec	max_rss_kb	current_rss_kb	extra
python_alloc	hz10	1	0.91	106756	-	-
redis_setget	hz10	1	0.55	8064	-	-
redis_server_rss_kb	hz10	1	-	NA	NA	server
larson	hz10	1	4.179	282112	282112	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	hz10	1	-	-	-	2095609
xmalloc_test	hz10	1	2.00	13312	-	-
cache_scratch	hz10	1	1.09	3968	-	-
mstress	hz10	1	0.22	203472	-	-
sh6bench	hz10	1	0.69	321792	-	-
python_alloc	hz10	2	0.91	106800	-	-
redis_setget	hz10	2	0.54	8064	-	-
redis_server_rss_kb	hz10	2	-	NA	NA	server
larson	hz10	2	4.179	283256	283256	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	hz10	2	-	-	-	2095616
xmalloc_test	hz10	2	2.00	13568	-	-
cache_scratch	hz10	2	1.11	3968	-	-
mstress	hz10	2	0.22	198140	-	-
sh6bench	hz10	2	0.72	316416	-	-
python_alloc	hz10	3	0.90	106432	-	-
redis_setget	hz10	3	0.54	8192	-	-
redis_server_rss_kb	hz10	3	-	NA	NA	server
larson	hz10	3	4.177	284160	284160	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	hz10	3	-	-	-	2095608
xmalloc_test	hz10	3	2.00	14080	-	-
cache_scratch	hz10	3	1.09	3968	-	-
mstress	hz10	3	0.22	201308	-	-
sh6bench	hz10	3	0.69	320896	-	-
python_alloc	hz10	4	0.90	106836	-	-
redis_setget	hz10	4	0.55	8192	-	-
redis_server_rss_kb	hz10	4	-	NA	NA	server
larson	hz10	4	4.137	280832	280832	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	hz10	4	-	-	-	2095665
xmalloc_test	hz10	4	2.00	13696	-	-
cache_scratch	hz10	4	1.13	3968	-	-
mstress	hz10	4	0.21	207784	-	-
sh6bench	hz10	4	0.69	322560	-	-
python_alloc	hz10	5	0.91	106704	-	-
redis_setget	hz10	5	0.56	7936	-	-
redis_server_rss_kb	hz10	5	-	NA	NA	server
larson	hz10	5	4.129	282624	282624	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	hz10	5	-	-	-	2095614
xmalloc_test	hz10	5	2.00	13312	-	-
cache_scratch	hz10	5	1.10	3968	-	-
mstress	hz10	5	0.22	206284	-	-
sh6bench	hz10	5	0.71	318080	-	-
