row,run,ops,post_rss,peak_rss
small_interleaved_remote90,1,14654907.252,3272704,37093376
small_interleaved_remote90,2,14694160.788,2961408,29229056
small_interleaved_remote90,3,14802987.776,2912256,31326208
main_interleaved_r90,1,6915691.377,4816896,69730304
main_interleaved_r90,2,6964778.818,4870144,58458112
main_interleaved_r90,3,6751637.772,4616192,73662464
medium_interleaved_r50,1,10116139.094,3899392,59637760
medium_interleaved_r50,2,9337035.904,4026368,66977792
medium_interleaved_r50,3,9382671.360,4194304,69861376
main_local0,1,115539466.043,3534848,3670016
main_local0,2,118862003.294,3538944,3538944
main_local0,3,117705929.098,3801088,3932160
medium_local0,1,109668272.667,2621440,2752512
medium_local0,2,109721623.896,3014656,3014656
medium_local0,3,112148956.244,2883584,2883584
